freq	dB(stoz(S(1,1)))
1.06849999999999978E9	3.96998217699861033E1
1.06900000000000017E9	3.96899647623874108E1
1.06950000000000012E9	3.96798595743607674E1
1.06999999999999984E9	3.96695549397166491E1
1.07050000000000001E9	3.96590914873026046E1
1.07099999999999995E9	3.96485026592432632E1
1.07149999999999990E9	3.96378156615668908E1
1.07200000000000006E9	3.96270523768593019E1
1.07250000000000001E9	3.96162302003336020E1
1.07299999999999995E9	3.96053627820377097E1
1.07349999999999990E9	3.95944606714194602E1
1.07400000000000007E9	3.95835318684193149E1
1.07450000000000001E9	3.95725822894835400E1
1.07499999999999996E9	3.95616161587277659E1
1.07549999999999990E9	3.95506363348716183E1
1.07600000000000007E9	3.95396445841448019E1
1.07650000000000001E9	3.95286418085412228E1
1.07699999999999996E9	3.95176282378264343E1
1.07750000000000012E9	3.95066035927374637E1
1.07799999999999985E9	3.94955672259377355E1
1.07850000000000001E9	3.94845182465508149E1
1.07900000000000018E9	3.94734556335128506E1
1.07949999999999990E9	3.94623783425654207E1
1.08000000000000007E9	3.94512854114582279E1
1.08050000000000002E9	3.94401760678438240E1
1.08099999999999996E9	3.94290498444251458E1
1.08150000000000013E9	3.94179067061605659E1
1.08200000000000007E9	3.94067471947435033E1
1.08250000000000002E9	3.93955725961547065E1
1.08299999999999996E9	3.93843851378334620E1
1.08349999999999991E9	3.93731882229194330E1
1.08400000000000007E9	3.93619867100520349E1
1.08450000000000002E9	3.93507872483259424E1
1.08499999999999996E9	3.93395986780857854E1
1.08550000000000013E9	3.93284325091272979E1
1.08599999999999985E9	3.93173034882633932E1
1.08650000000000002E9	3.93062302676585906E1
1.08700000000000019E9	3.92952361831332109E1
1.08749999999999991E9	3.92843501467649148E1
1.08799999999999986E9	3.92736076491137576E1
1.08850000000000002E9	3.92630518512933557E1
1.08899999999999997E9	3.92527347234006063E1
1.08949999999999991E9	3.92427181505886669E1
1.09000000000000008E9	3.92330748784854766E1
1.09050000000000002E9	3.92238891039811088E1
1.09099999999999997E9	3.92152564368998302E1
1.09150000000000014E9	3.92072828700319898E1
1.09200000000000008E9	3.92000823167848500E1
1.09250000000000003E9	3.91937722388469245E1
1.09299999999999997E9	3.91884669381024642E1
1.09349999999999992E9	3.91842682855489510E1
1.09400000000000008E9	3.91812540561586520E1
1.09450000000000003E9	3.91794646436629312E1
1.09499999999999997E9	3.91788896726311453E1
1.09549999999999992E9	3.91794567255304704E1
1.09599999999999986E9	3.91810247842843040E1
